Word,SUBTLWF
Texas,28.02
Fred,42.53
Lincoln,18.73
Louis,25.90
Helen,37.71
Kong,21.69
Broadway,12.37
Elizabeth,22.75
Alan,32.86
Korea,12.49
Tokyo,13.53
Carter,32.73
Canada,10.78
Daniel,21.88
Barry,19.86
Franklin,10.80
Harold,25.22
Hong,18.12
Anna,34.08
Arizona,11.06
Gary,24.47
Oscar,17.80
Georgia,18.00
Kansas,12.04
Detroit,10.55
Christopher,18.16
Vincent,18.55
Berlin,13.43
Romeo,9.88
Anderson,14.71
Claire,30.43
Lawrence,13.65
Nevada,6.90
Einstein,5.27
Barney,19.67
Asia,5.29
Ellen,24.10
Thompson,9.31
Dorothy,17.55
Stanley,18.61
Bronx,6.27
Jess,21.06
Scotland,7.41
Adams,9.22
Palmer,14.06
Warren,14.78
Kentucky,5.22
Carolina,6.20
Bernard,12.98
Janet,17.90
Teli,19.80
Luther,11.98
Mitch,17.94
Weli,39.08
Stephen,13.29
Beth,15.94
Oliver,14.76
Caribbean,3.86
Jonathan,13.94
Hudson,9.43
Alaska,4.37
Seth,19.75
Wally,14.16
Hawkeye,8.08
Moore,7.71
Abbott,7.86
Wesley,11.20
Nobel,3.24
Judas,4.51
Julius,8.12
Austin,10.29
Juliet,5.98
Princeton,4.78
Missouri,4.41
Pam,11.92
Pierre,7.73
Spencer,7.29
Frankenstein,6.92
Dj,4.43
Harlem,4.49
Florence,5.37
Jose,4.45
Vienna,4.84
Winchester,6.43
Greece,4.41
Chevy,3.43
Gibson,6.04
Calvin,9.29
Devon,17.92
Caroline,10.33
Perry,7.67
Veronica,11.51
Picasso,3.90
Beatles,3.00
Troy,12.47
Hawaiian,3.25
Kent,8.20
Watson,20.90
Disney,2.55
Bailey,7.73
Eden,3.90
Carmen,10.61
Jupiter,4.04
Rosa,5.06
Hans,10.47
Burt,13.25
Pd,2.31
Gps,2.59
Gregory,5.41
Hercules,25.20
Hola,2.71
Gandhi,2.04
Ethel,4.92
Illinois,1.76
Saturdays,1.55
Pulitzer,1.86
Brazilian,2.06
Finn,4.92
Martinez,4.16
Webster,6.31
Mae,7.98
Cambridge,2.82
Allah,4.41
Robbins,2.51
Bahamas,2.14
Raines,5.06
Tex,3.59
Esther,3.67
Pepsi,1.84
Toby,6.92
Morocco,2.35
Hurley,4.22
Shelly,8.22
Casanova,3.61
Stokes,2.86
Ernest,4.67
Norma,4.04
Billie,7.43
Burton,3.08
Godspeed,1.31
Indiana,1.94
Prague,2.27
Darwin,2.33
Deborah,4.69
Dante,5.16
Neal,3.82
Afghanistan,1.82
Cheyenne,4.78
Castro,4.14
Buffy,3.20
Marge,4.41
Sabbath,1.69
Arabs,2.12
Brandon,9.29
Yorkers,1.25
Alison,7.41
Allan,3.61
Ariel,7.08
Fay,5.16
Everest,1.27
Reich,2.53
